Num‚ro porc;T0-T1;GR auto : 5-8(10,6/æL);HGB(g/L)(100-160);HCT(%)(32-50);MCV(fL) (VGM)(50-68);MCH(pg) (TCMH)(17-21);MCHC(%) (CCMH)(30-34);RDW-SD(fL);RDW-CV(%);RET#(K/uL);RET%(%)(0-1);IRF(%);PLT auto : 325-715(10,3/æl);GB : 11-22(10,3/æl);GNN auto : 3,1-10,5;Lymphocytes auto : 4,3-13;Monocytes auto : 0,2-2,2;GNE auto:0-2,4 ;GNB auto : 0-0,3
P001;T1;6;96;32,1;57,1;17,1;29,9;44,3;25,4;65;1;18;283;17,17;6,06;9,7;1,21;0,19;0,01
P002;T1;6;116;39,4;61,4;18,1;29,4;43,5;24,1;125;2;18;696;28,16;10,18;15,7;2,01;0,26;0,01
P004;T1;6;101;34,9;59,6;17,2;28,9;42,5;23,5;102;2;14;789;18,19;7,95;8,87;1,29;0,07;0,01
P006;T1;6;105;37,9;62,1;17,2;27,7;47;24,9;51;1;20;641;24,43;10,52;11,99;1,8;0,1;0,02
P007;T1;7;103;35;52,7;15,5;29,4;50;30,8;89;1;17;236;21,79;7,07;13,22;1,33;0,15;0,02
P008;T1;6;103;35,6;62,3;18;28,9;50,4;26,6;119;2;10;384;33,71;22,71;8,97;1,93;0,09;0,01
P009;T1;5;92;31,2;58;17,1;29,5;43,1;25,9;66;1;26;680;23,35;7,84;14,21;1,16;0,14;0
P010;T1;5;90;31,4;57,5;16,5;28,7;45,5;26,2;95;2;6;611;15,21;5,52;8,66;0,89;0,13;0,01
P011;T1;6;109;39,4;62,5;17,3;27,7;50,6;26,2;159;3;9;299;19,11;6,61;11,01;1,27;0,21;0,01
P012;T1;6;98;34,8;57,1;16,1;28,2;44,1;25,9;161;3;10;705;15,99;5,59;9,05;1,2;0,14;0,01
P013;T1;8;105;36;47,5;13,9;29,2;46,1;33,7;124;2;10;309;20,7;7,22;12,44;0,88;0,14;0,02
P014;T1;7;122;45;60,6;16,4;27,1;49,5;27,3;152;2;8;286;20,81;7,47;11,78;1,37;0,18;0,01
P015;T1;6;103;36,1;58,1;16,6;28,5;46,8;26,6;94;2;19;552;26,05;11,61;12,46;1,78;0,17;0,03
P016;T1;5;75;25,1;54,7;16,3;29,9;54,2;31,5;28;1;44;570;19,92;7,87;9,8;2,11;0,13;0,01
P017;T1;7;109;40,8;57,5;15,4;26,7;48,1;28,6;86;1;19;563;27,68;10,38;15,53;1,65;0,11;0,01
P018;T1;7;109;38,4;58,8;16,7;28,4;42,1;24,4;426;7;8;478;35,8;14,05;19,66;1,81;0,24;0,04
P019;T1;6;113;38,9;61,4;17,8;29;40,2;22,4;143;2;16;680;22,71;10,74;10,6;1,17;0,18;0,02
P020;T1;6;117;40,4;63;18,3;29;38,7;20,6;120;2;10;199;18,71;8,18;9,04;1,3;0,18;0,01
P021;T1;6;107;36,8;60,1;17,5;29,1;43,1;24,3;153;3;14;780;21,1;8,59;11,2;1,01;0,29;0,01
P022;T1;6;103;36,4;61,8;17,5;28,3;39,7;21,3;254;4;6;654;21,09;7,07;12,56;1,27;0,17;0,02
P023;T1;7;121;41,1;61,9;18,2;29,4;44,5;24,4;169;3;8;586;15,36;5,5;8,85;0,66;0,32;0,03
P024;T1;7;117;39,9;58,8;17,2;29,3;40,8;23,4;103;2;5;558;24,47;12,18;10,89;1,15;0,24;0,01
P025;T1;5;102;34,4;63,8;18,9;29,7;46,2;23,1;88;2;10;818;14,72;7,3;6,79;0,55;0,06;0,02
P026;T1;6;116;39,2;63,4;18,8;29,6;46,5;23,7;94;2;11;315;19,79;10,69;7,52;1,47;0,1;0,01
P027;T1;5;98;33,3;60,8;17,9;29,4;46,1;24,9;106;2;12;746;12,46;5,74;5,87;0,74;0,1;0,01
P028;T1;6;106;35,1;61,4;18,5;30,2;44;23,4;86;2;4;106;12,77;4,54;7,22;0,93;0,06;0,02
P029;T1;6;102;35;58,6;17,1;29,1;42,9;24,4;58;1;21;842;22,56;12,26;8,91;1,05;0,33;0,01
P030;T1;6;104;37,8;63,1;17,4;27,5;46,8;24,7;124;2;13;683;16,22;6,32;8,56;0,97;0,36;0,01
P031;T1;6;118;39,5;63,7;19;29,9;41,7;22,5;35;1;25;618;14,47;4,89;8,57;0,84;0,17;0
P032;T1;6;119;40,6;65,9;19,3;29,3;46,6;23,4;63;1;19;407;14,13;4,72;8,2;0,94;0,26;0,01
P033;T1;7;113;37,6;57,1;17,1;30,1;39,1;23,2;90;1;7;595;14,34;5,63;7,7;0,76;0,25;0
P034;T1;6;111;36,9;57,1;17,2;30,1;40,9;24,2;121;2;12;842;16,93;7,29;8,21;1,12;0,3;0,01
P035;T1;7;122;41,6;62;18,2;29,3;39,1;21,9;60;1;20;680;18,04;6,27;10,79;0,87;0,11;0
P036;T1;7;119;40,9;57,2;16,6;29,1;43,2;25,8;66;1;23;738;21,11;10,91;9,16;0,88;0,06;0,1
P037;T1;7;128;44,6;59,7;17,1;28,7;28,7;39,3;146;2;6;266;18,69;8,1;9,7;0,79;0,1;0
P038;T1;8;125;44,3;58,1;16,4;28,2;28,2;49,6;66;1;21;437;18,85;7,42;10,58;0,76;0,08;0,01
P039;T1;8;114;40,1;51,4;14,6;28,4;28,4;----;9;0;57;569;11,5;5,8;5,03;0,59;0,07;0,01
P040;T1;8;110;38,7;50,5;14,3;28,4;28,4;----;105;1;12;430;16,8;6,45;9,59;0,58;0,15;0,03
P041;T1;4;70;25,2;60,9;16,9;27,8;27,8;41,9;96;2;10;44;15,76;3,57;11,26;0,82;0,11;0
P042;T1;6;105;38,2;59,7;16,4;27,5;27,5;53,9;162;3;12;654;30,22;10,54;17,56;2,03;0,08;0,01
P043;T1;7;110;38,6;56,7;16,2;28,5;28,5;52,1;93;1;9;683;8,79;3,32;4,85;0,32;0,2;0,1
P044;T1;7;109;38,6;57,1;16,1;28,2;28,2;44,8;108;2;6;564;14,42;5,76;8,15;0,39;0,11;0,01
P045;T1;6;108;38;63,5;18,1;28,4;28,4;41,9;85;1;6;433;8,35;2,86;5,1;0,29;0,09;0,01
P046;T1;6;84;30,6;49,9;13,7;27,5;27,5;----;3;0;100;431;11,27;4,16;6,53;0,28;0,26;0,04
